,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
295,2000-11-12,9.695833000000004,-0.013542,3.9791665000000003,0.6354165
547,2000-11-13,12.472915999999998,-0.018958,3.09482375,0.37608699999999995
678,2000-11-14,11.225000000000001,-0.016270500000000004,4.3539080000000006,0.35833300000000007
808,2000-11-15,14.0550395,-0.009833499999999998,4.491667,0.45729149999999996
938,2000-11-16,17.866395,-0.014334000000000003,3.1835467499999996,0.36354200000000003
1068,2000-11-17,19.185416999999998,-0.013770500000000001,3.0218747500000003,0.5239585
1199,2000-11-18,16.577084,-0.006499999999999999,3.04479175,0.48541700000000004
1329,2000-11-19,18.502083,-0.004937000000000002,3.5187500000000003,0.5979165
1588,2000-11-20,13.456060999999998,-0.005563000000000002,3.09119325,0.4018115
1718,2000-11-21,1.6723490000000023,0.002124500000000005,2.9806225000000004,0.11231074999999999
1849,2000-11-22,2.3464015000000025,-0.0001460000000000003,3.21719125,0.09895850000000003
1980,2000-11-23,8.9666665,-0.0028954999999999988,2.9250000000000003,0.22500024999999996
2109,2000-11-24,14.231250000000001,-0.0053960000000000015,3.01145825,0.3802082499999999
2238,2000-11-25,12.433333499999998,-0.0027500000000000024,3.3072915000000003,0.37916674999999994
2366,2000-11-26,10.234238499999998,-0.0051669999999999945,2.96625925,0.3471922499999999
2494,2000-11-27,14.423443500000001,-0.013728999999999998,2.9247155000000005,0.54180225
2623,2000-11-28,16.095833499999998,-0.013958000000000003,3.2843752499999996,0.6281249999999999
2752,2000-11-29,12.206250000000002,-0.006666500000000002,4.99895825,0.633333
3002,2000-11-30,16.100000499999997,-0.005646,3.5708330000000004,0.53229175
394,2000-12-01,20.083333000000003,-0.017958,2.3166665,0.8354164999999999
438,2000-12-02,3.258333499999999,0.0053755,2.3125000000000004,0.20312550000000007
449,2000-12-03,5.875,0.009708999999999999,1.7041665,-0.004166999999999976
470,2000-12-05,12.125,0.010458000000000002,1.99375,0.12291649999999998
481,2000-12-06,3.4057970000000033,0.004292000000000004,1.3958335,-0.008333500000000021
492,2000-12-07,7.041667,-0.017834000000000003,0.5000000000000002,0.1125005
503,2000-12-08,3.833334,-0.00029099999999999265,0.3416664999999999,0.03333349999999999
514,2000-12-09,11.012681,-0.0032920000000000033,-0.8139364999999998,0.1645835
